municipi,comarca,certs,energia,emissions,any_mitja,pct_ab,pct_fg,renda
Barcelona,Barcelonès,262171,192.98,38.16,1957.0,1.4,28.8,25898
Hospitalet de Llobregat,Barcelonès,32876,204.46,40.82,1968.0,0.9,35.0,17591
Terrassa,Vallès Occidental,29587,241.82,48.44,1985.0,2.1,25.8,19895
Sabadell,Vallès Occidental,27778,192.82,38.69,1978.0,2.7,30.4,20303
Badalona,Barcelonès,26125,192.94,39.05,1973.0,1.5,29.8,19114
Tarragona,Tarragonès,20356,154.3,29.68,1975.0,2.1,26.7,18825
Lleida,Segrià,17512,255.6,51.86,1981.0,3.0,26.9,19018
Girona,Gironès,16559,240.31,48.04,1982.0,2.0,26.3,20608
Mataró,Maresme,15618,193.14,38.14,1980.0,2.2,31.0,18465
Reus,Baix Camp,14899,196.38,38.54,1977.0,2.2,26.0,18065
Santa Coloma de Gramenet,Barcelonès,14074,206.58,41.46,1971.0,0.8,36.0,16649
Sant Cugat del Vallès,Vallès Occidental,12437,169.06,34.05,1989.0,7.5,19.4,30434
Manresa,Bages,10771,189.61,37.39,1972.0,2.1,30.2,19221
Salou,Tarragonès,10252,203.22,37.8,1984.0,1.6,41.1,16118
Rubí,Vallès Occidental,10203,193.84,38.93,1986.0,3.4,29.3,18483
Cornellà de Llobregat,Baix Llobregat,10084,199.98,39.77,1972.0,1.1,33.0,19180
Vilanova i la Geltrú,Garraf,9628,192.81,38.08,1984.0,4.6,31.2,20613
Sant Boi de Llobregat,Baix Llobregat,9514,201.74,39.97,1976.0,2.0,33.6,19548
Castelldefels,Baix Llobregat,8981,202.41,39.58,1981.0,3.1,32.6,22337
Cambrils,Baix Camp,8871,197.09,37.24,1989.0,2.9,35.5,18150
Vendrell,Baix Penedès,8790,205.55,40.04,1990.0,2.9,34.6,17683
Calafell,Baix Penedès,8412,197.38,37.95,1988.0,2.5,34.4,16248
Granollers,Vallès Oriental,8370,190.66,38.02,1981.0,3.2,28.9,20642
Lloret de Mar,Selva,7649,210.69,40.74,1988.0,1.7,36.9,14009
Viladecans,Baix Llobregat,7389,185.21,37.06,1983.0,2.3,24.4,20017
Roses,Alt Empordà,6953,233.17,43.51,1986.0,1.1,51.5,14578
Cerdanyola del Vallès,Vallès Occidental,6937,196.22,39.67,1981.0,4.2,30.9,22561
Figueres,Alt Empordà,6733,202.85,40.79,1984.0,1.9,35.7,15572
Prat de Llobregat,Baix Llobregat,6526,188.63,37.49,1977.0,1.8,24.4,20168
Mollet del Vallès,Vallès Oriental,6312,195.77,38.98,1981.0,1.9,29.1,19106
Blanes,Selva,6301,206.39,40.76,1981.0,1.6,36.5,16740
Sitges,Garraf,6006,195.2,38.27,1982.0,4.4,32.2,24823
Vic,Osona,5641,221.74,45.34,1981.0,3.7,23.8,19508
Esplugues de Llobregat,Baix Llobregat,5422,187.53,37.71,1975.0,2.6,27.3,22939
Igualada,Anoia,5380,242.61,48.91,1980.0,4.6,28.4,19738
Gavà,Baix Llobregat,5374,191.33,37.99,1980.0,2.4,27.2,21866
Vilafranca del Penedès,Alt Penedès,5370,182.07,36.14,1979.0,3.5,26.4,19777
Mont-roig del Camp,Baix Camp,4835,228.68,43.32,1995.0,2.0,42.8,15682
Pineda de Mar,Maresme,4774,206.07,41.19,1983.0,1.7,36.0,16901
Vila-seca,Tarragonès,4749,190.05,35.65,1987.0,1.8,33.2,16239
Castelló d'Empúries,Alt Empordà,4715,229.71,43.24,1985.0,1.7,46.6,14136
Sant Feliu de Llobregat,Baix Llobregat,4606,184.01,36.65,1979.0,2.3,22.3,22381
Ripollet,Vallès Occidental,4591,195.83,39.36,1981.0,2.0,31.5,18087
Palafrugell,Baix Empordà,4506,216.99,43.22,1984.0,3.7,41.8,16599
Montcada i Reixac,Vallès Occidental,4204,200.32,39.97,1981.0,2.1,34.0,18591
Torredembarra,Tarragonès,4169,192.74,36.33,1989.0,2.1,31.8,16648
Sant Pere de Ribes,Garraf,4098,199.26,39.94,1988.0,5.5,31.6,19622
Olot,Garrotxa,4092,257.46,52.98,1978.0,3.9,29.2,19063
Sant Feliu de Guíxols,Baix Empordà,4074,209.36,41.15,1982.0,2.2,38.1,16547
Cunit,Baix Penedès,3989,201.69,39.55,1988.0,4.1,34.9,15963
Sant Adrià de Besòs,Barcelonès,3966,188.81,37.61,1977.0,1.4,27.2,17283
Barberà del Vallès,Vallès Occidental,3929,185.65,37.38,1988.0,5.8,26.8,20086
Salt,Gironès,3829,205.18,41.53,1984.0,0.8,37.2,13633
Premià de Mar,Maresme,3768,196.78,39.46,1975.0,2.2,29.8,20343
Sant Joan Despí,Baix Llobregat,3721,183.51,36.37,1982.0,2.4,24.3,23030
Tortosa,Baix Ebre,3600,168.86,31.75,1974.0,3.3,33.8,17275
Palamós,Baix Empordà,3483,212.12,41.03,1983.0,2.3,41.5,17928
Cubelles,Garraf,3244,203.8,40.63,1992.0,2.3,35.2,18982
Escala,Alt Empordà,3223,250.36,48.04,1984.0,2.9,53.3,16283
Masnou,Maresme,3214,188.0,37.78,1975.0,5.9,29.1,23920
Martorell,Baix Llobregat,3125,184.71,36.86,1983.0,2.5,24.9,18897
Molins de Rei,Baix Llobregat,3087,188.62,37.74,1978.0,5.2,28.3,23013
Santa Perpètua de Mogoda,Vallès Occidental,2998,222.5,40.27,1984.0,3.3,29.9,19884
Sant Andreu de la Barca,Baix Llobregat,2932,200.21,40.2,1987.0,2.1,32.7,19253
Castellar del Vallès,Vallès Occidental,2919,208.17,42.88,1986.0,7.8,26.4,21534
Calella,Maresme,2910,200.3,39.41,1980.0,1.9,32.6,17163
Olesa de Montserrat,Baix Llobregat,2804,209.49,41.76,1981.0,3.3,29.7,19382
Torroella de Montgrí,Baix Empordà,2799,235.66,45.36,1981.0,2.3,48.0,16376
Vilassar de Mar,Maresme,2779,191.89,38.77,1976.0,3.1,26.1,25085
Malgrat de Mar,Maresme,2673,197.63,39.55,1987.0,2.8,30.8,17709
Calonge i Sant Antoni,Baix Empordà,2669,213.91,42.58,1986.0,3.8,38.5,17110
Valls,Alt Camp,2665,202.5,39.77,1980.0,3.1,26.8,18309
Sant Vicenç dels Horts,Baix Llobregat,2639,196.32,39.79,1980.0,4.2,28.5,18705
Amposta,Montsià,2619,194.18,36.23,1990.0,2.4,35.9,15028
Esparreguera,Baix Llobregat,2610,205.13,41.26,1984.0,3.5,30.9,19968
Sant Quirze del Vallès,Vallès Occidental,2548,171.64,34.67,1997.0,10.0,17.4,26995
Arenys de Mar,Maresme,2468,194.79,38.91,1978.0,2.8,30.0,20604
Tordera,Maresme,2336,212.36,43.88,1993.0,3.3,35.5,16526
Banyoles,Pla de l'Estany,2225,214.35,43.97,1984.0,5.2,34.2,20697
Tàrrega,Urgell,2214,234.87,48.42,1987.0,6.2,19.8,17218
Cardedeu,Vallès Oriental,2214,183.28,36.68,1988.0,5.8,23.4,21212
Garriga,Vallès Oriental,2188,202.59,40.93,1985.0,4.7,27.3,22903
Parets del Vallès,Vallès Oriental,2152,198.6,40.22,1986.0,4.4,31.0,20836
Franqueses del Vallès,Vallès Oriental,2134,193.86,39.11,1989.0,3.8,28.3,18971
Montornès del Vallès,Vallès Oriental,2112,190.78,38.94,1985.0,5.2,30.8,18719
Sant Celoni,Vallès Oriental,2101,198.14,40.1,1984.0,3.7,31.5,19112
Corbera de Llobregat,Baix Llobregat,2089,211.51,44.69,1986.0,9.4,31.2,21929
Caldes de Montbui,Vallès Oriental,2046,197.87,40.15,1980.0,6.5,30.4,20817
Vallirana,Baix Llobregat,2039,209.85,44.2,1989.0,7.0,30.1,20730
Piera,Anoia,2001,245.49,51.12,1985.0,4.3,34.5,17371
Canet de Mar,Maresme,1939,203.34,40.64,1982.0,3.4,36.4,19325
Llançà,Alt Empordà,1918,233.56,45.63,1985.0,2.5,53.3,17869
Berga,Berguedà,1906,239.09,49.25,1976.0,2.0,37.6,19322
Lliçà d'Amunt,Vallès Oriental,1882,216.62,46.96,1990.0,10.8,33.4,20574
Sant Just Desvern,Baix Llobregat,1874,186.69,37.33,1980.0,7.9,25.2,33256
Canovelles,Vallès Oriental,1849,204.34,41.38,1980.0,2.8,34.3,16970
Tossa de Mar,Selva,1842,230.48,44.14,1980.0,1.7,45.6,16052
Manlleu,Osona,1822,230.5,49.12,1979.0,3.3,30.2,17297
Sant Andreu de Llavaneres,Maresme,1793,186.21,37.96,1986.0,6.0,27.3,23819
Mollerussa,Pla d'Urgell,1753,233.99,47.68,1989.0,3.4,19.3,17502
Palau-solità i Plegamans,Vallès Occidental,1721,199.75,41.2,1988.0,9.6,27.9,21251
Alcanar,Montsià,1660,204.45,37.97,1990.0,2.0,41.5,15476
Abrera,Baix Llobregat,1635,192.77,39.11,1991.0,7.8,23.3,20357
Santa Coloma de Farners,Selva,1544,206.24,42.6,1987.0,5.3,30.0,17675
Ametlla de Mar,Baix Ebre,1487,221.42,42.51,1990.0,4.6,36.9,16145
Balaguer,Noguera,1438,265.95,54.64,1981.0,2.7,28.8,15818
Roca del Vallès,Vallès Oriental,1428,183.74,37.07,1992.0,14.6,23.9,23399
Castellbisbal,Vallès Occidental,1421,196.02,40.33,1989.0,6.8,27.5,20352
Torelló,Osona,1369,215.19,45.73,1979.0,7.3,29.4,20276
Badia del Vallès,Vallès Occidental,1366,197.49,40.44,1973.0,0.2,33.1,15913
Sant Sadurní d'Anoia,Alt Penedès,1360,186.0,36.62,1985.0,5.6,27.4,21411
Llagosta,Vallès Oriental,1356,196.02,39.28,1978.0,0.7,30.4,18051
Vandellòs i l'Hospitalet de l'Infant,Baix Camp,1356,213.03,39.02,1988.0,2.2,39.5,16928
Deltebre,Baix Ebre,1349,196.65,36.53,1995.0,2.8,37.0,15794
Ripoll,Ripollès,1341,276.19,58.14,1963.0,2.8,33.7,19701
Puigcerdà,Cerdanya,1340,252.02,51.55,1983.0,5.6,24.3,15759
Altafulla,Tarragonès,1336,195.16,37.06,1991.0,5.8,27.5,20742
Argentona,Maresme,1323,186.31,38.32,1982.0,6.1,22.9,22084
Alella,Maresme,1273,190.63,38.99,1979.0,9.3,23.8,35425
Begur,Baix Empordà,1256,237.42,47.89,1983.0,8.9,37.7,22271
Montgat,Maresme,1251,175.21,35.1,1983.0,4.8,22.4,22061
Bisbal d'Empordà,Baix Empordà,1240,195.3,39.65,1983.0,2.9,30.7,16638
Pallejà,Baix Llobregat,1240,193.19,39.4,1986.0,5.7,26.2,22448
Cervelló,Baix Llobregat,1232,199.15,41.63,1990.0,9.1,27.4,22571
Masquefa,Anoia,1222,206.14,42.18,1987.0,6.7,27.5,18196
