any;municipi;concepte;indicador;estat;valor
2010;Abrera;renda familiar disponible bruta;valor (milers €);;197787
2010;Abrera;renda familiar disponible bruta;per habitant (€);;17241
2010;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,8
2010;Agramunt;renda familiar disponible bruta;valor (milers €);;78123
2010;Agramunt;renda familiar disponible bruta;per habitant (€);;13956
2010;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,4
2010;Aiguafreda;renda familiar disponible bruta;valor (milers €);;44210
2010;Aiguafreda;renda familiar disponible bruta;per habitant (€);;17816
2010;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,2
2010;Aitona;renda familiar disponible bruta;valor (milers €);;27739
2010;Aitona;renda familiar disponible bruta;per habitant (€);;11649
2010;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;68,8
2010;Albatàrrec;renda familiar disponible bruta;valor (milers €);;25527
2010;Albatàrrec;renda familiar disponible bruta;per habitant (€);;12797
2010;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,6
2010;Albesa;renda familiar disponible bruta;valor (milers €);;20691
2010;Albesa;renda familiar disponible bruta;per habitant (€);;12522
2010;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);;74,0
2010;Albinyana;renda familiar disponible bruta;valor (milers €);;29565
2010;Albinyana;renda familiar disponible bruta;per habitant (€);;12799
2010;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,6
2010;Alcanar;renda familiar disponible bruta;valor (milers €);;122668
2010;Alcanar;renda familiar disponible bruta;per habitant (€);;11758
2010;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;69,5
2010;Alcarràs;renda familiar disponible bruta;valor (milers €);;104899
2010;Alcarràs;renda familiar disponible bruta;per habitant (€);;12904
2010;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,2
2010;Alcoletge;renda familiar disponible bruta;valor (milers €);;42441
2010;Alcoletge;renda familiar disponible bruta;per habitant (€);;14665
2010;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);;86,6
2010;Alcover;renda familiar disponible bruta;valor (milers €);;71019
2010;Alcover;renda familiar disponible bruta;per habitant (€);;13911
2010;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,2
2010;Aldea, l';renda familiar disponible bruta;valor (milers €);;51099
2010;Aldea, l';renda familiar disponible bruta;per habitant (€);;11607
2010;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;68,6
2010;Alella;renda familiar disponible bruta;valor (milers €);;228556
2010;Alella;renda familiar disponible bruta;per habitant (€);;24006
2010;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;141,8
2010;Alfarràs;renda familiar disponible bruta;valor (milers €);;38393
2010;Alfarràs;renda familiar disponible bruta;per habitant (€);;12348
2010;Alfarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;72,9
2010;Alforja;renda familiar disponible bruta;valor (milers €);;24124
2010;Alforja;renda familiar disponible bruta;per habitant (€);;12889
2010;Alforja;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,1
2010;Alguaire;renda familiar disponible bruta;valor (milers €);;44769
2010;Alguaire;renda familiar disponible bruta;per habitant (€);;14463
2010;Alguaire;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,4
2010;Almacelles;renda familiar disponible bruta;valor (milers €);;83705
2010;Almacelles;renda familiar disponible bruta;per habitant (€);;12739
2010;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,2
2010;Almenar;renda familiar disponible bruta;valor (milers €);;46963
2010;Almenar;renda familiar disponible bruta;per habitant (€);;13077
2010;Almenar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;77,2
2010;Almoster;renda familiar disponible bruta;valor (milers €);;26397
2010;Almoster;renda familiar disponible bruta;per habitant (€);;19326
2010;Almoster;renda familiar disponible bruta;per habitant (índex Catalunya=100);;114,2
2010;Alp;renda familiar disponible bruta;valor (milers €);;24850
2010;Alp;renda familiar disponible bruta;per habitant (€);;14475
